title,price,link,date,location
A Light in the Attic,£51.77,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,In stock,
Tipping the Velvet,£53.74,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,In stock,
Soumission,£50.10,https://books.toscrape.com/catalogue/soumission_998/index.html,In stock,
Sharp Objects,£47.82,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,In stock,
Sapiens: A Brief History of Humankind,£54.23,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,In stock,
The Requiem Red,£22.65,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,In stock,
The Dirty Little Secrets of Getting Your Dream Job,£33.34,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,In stock,
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,In stock,
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,In stock,
The Black Maria,£52.15,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,In stock,
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,In stock,
Shakespeare's Sonnets,£20.66,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,In stock,
Set Me Free,£17.46,https://books.toscrape.com/catalogue/set-me-free_988/index.html,In stock,
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,In stock,
Rip it Up and Start Again,£35.02,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,In stock,
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,In stock,
Olio,£23.88,https://books.toscrape.com/catalogue/olio_984/index.html,In stock,
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,In stock,
Libertarianism for Beginners,£51.33,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,In stock,
It's Only the Himalayas,£45.17,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,In stock,
In Her Wake,£12.84,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,In stock,
How Music Works,£37.32,https://books.toscrape.com/catalogue/how-music-works_979/index.html,In stock,
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,In stock,
Chase Me (Paris Nights #2),£25.27,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,In stock,
Black Dust,£34.53,https://books.toscrape.com/catalogue/black-dust_976/index.html,In stock,
Birdsong: A Story in Pictures,£54.64,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,In stock,
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,In stock,
Aladdin and His Wonderful Lamp,£53.13,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,In stock,
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,In stock,
